Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Gilman House Hotel 	New Aeon	NA517	Location	"Cemetery, Water, Inside, Tome, Gate, Business, City, "			-1			NA	Lovecraft	Innsmouth							U	An Unexpected Calamity can not be played by any player 
Giulio Cesare Hotel 	New Aeon	NA518	Location	"Inside, Gate, Business, City, "						NA	New Aeon	Rome							C	An Unexpected Calamity can not be played by any player 
Greenwich Village 	New Aeon	NA519	Location	"Outside, Water, Tome, City, Library, Site, University"						NA	New Aeon	New York							C	+1 Artists/Authors/Students
Harbor Place Hotel 	New Aeon	NA520	Location	"Inside, Water, Tome, Business, City, "						NA	New Aeon	Kingsport							R	An Unexpected Calamity cannot be played by anyone.
INTERPOL Headquarters Italy 	New Aeon	NA521	Location	"Inside, Artifact, Tome, City, Government, "			-1			NA	New Aeon	Rome							C	May play any Police Detective or Corrupt Ally from the New Aeon at this Location. Your Police Detective and Private Eye allies add 1 point to their card value when this is your Current Location. 
J. Edgar Hoover Building 	New Aeon	NA522	Location	"Inside, Tome, Gate, City, Government, "			-1			NA	New Aeon	Washington D.C.							C	Use this Gate and lose 1 Sanity point to play any one Corrupt Cultist from any Dimension. Your Police Detective and Private Eye allies add 1 point to their card value while this is your Current Location. 
Ju-Ju House	New Aeon	NA523	Location	"Inside, Artifact, Gate, City, House, "			-1			NA	New Aeon 	New York							C	
Kennedy Space Center 	New Aeon	NA524	Location	"Outside, Water, Artifact, Tome, Country, Government"						NA	New Aeon	Cape Canaveral							C	Storm/Drought Burial
Lascaux Caves 	New Aeon	NA525	Location	"Inside, Artifact, Tome, Country, Site, Underground, "						NA	New Aeon	Montignac							C	Your Explorer and Adventurer allies add 1 point to their card value when this is your Current Location. 
Lefferts Corners 	New Aeon	NA526	Location	"Forest, Inside, Tome, Country, Village"			1			NA	New Aeon	Catskills							C	
Louvre 	New Aeon	NA527	Location	"Water, Inside, Artifact, Tome, City, Museum, "			-1			NA	New Aeon	Paris							C	Your Artist Allies add 1 point to their card value while this is your Current Location
Lovecraft's Grave 	New Aeon	NA528	Location	"Cemetery, Outside, Gate, City, Site, Tomb, "						NA	New Aeon	Providence							U	During each additional Turn that you remain here you may Bury one Phobia affecting your Investigator 
Maison Nationale De SantÚ 	New Aeon	NA529	Location	"Forest, Outside, City, Sanitorium, "			4			NA	New Aeon	Paris							U	"Gain 4 Sanity points, but reveal the top card of your Mythos Deck. Apply any Sanity gain or loss indicated in the pentagram on the card, the Discard it. During each additional Turn that you remain here you may bury one Phobia affecting your Investigator. "
Maple Hill	New Aeon	NA530	Location	"Cemetery, Forest, Outside, Artifact, Gate, Country, Site, "						NA	New Aeon	Catskills							C	
McCarty's News Stand 	New Aeon	NA531	Location	"Water, Outside, Tome, City, Press, "						NA	New Aeon	Kingsport							U	
Mr. Shiny's Burger Palace 	New Aeon	NA532	Location	"Cemetery, Inside, Gate, Business, City, "						NA	New Aeon	New York							C	When this card becomes your Current Location you may immediately use its Gate to play Monsters 
Museo del Palazzo Venezia 	New Aeon	NA533	Location	"Outside, Artifact, Tome, City, Museum, "			-1			NA	New Aeon	Rome							C	Your Artist Allies add 1 point to their card value while this is your Current Location
Notre Dame	New Aeon	NA534	Location	"Cemetery, Water, Inside, Church, City, "						NA	New Aeon	Paris							U	For each additional Turn that you remain here you may Bury one Phobia affecting your 
Obed Marsh Memorial	New Aeon	NA535	Location	"Water, Outside, Gate, City, Site, "						NA	New Aeon	Innsmouth							U	
Pentagon 	New Aeon	NA536	Location	"Forest, Inside , Artifact, Gate, City, Government, "			-1			NA	New Aeon	Washington D.C.							C	Use this Gate and lose 1 Sanity point to play any one Weapon Artifact from any Dimension 
Porta Portese 	New Aeon	NA537	Location	"Outside, Artifact, Gate, Business, City"			-1				New Aeon	Rome							C	Recover 1 Artifact per Turn for 2 Sanity. Apply Sanity gain/loss for artifact.
Rue D'Auseil 	New Aeon	NA538	Location	"Outside, Gate, City, Site"							New Aeon	Paris							R	
Ruined Top-Secret Warehouse 	New Aeon	NA539	Location	"Water, Outside, Artifact, Gate, City, Ruins, "			-1				New Aeon	Washington D.C.							C	
Second Psychiatric Hospital 	New Aeon	NA540	Location	"Forest, Water, Inside, Artifact, Gate, City, Sanitorium, "			5		Yes	NA	New Aeon 	Moscow							U	"Gain 5 Sanity points, but remain here for a Turn recovering from the treatment. For each additional Turn that you remain here, Bury one Phobia "
Smithsonian Institution 	New Aeon	NA541	Location	"Inside, Artifact, Gate, City, Museum, Underground, "			-1			NA	New Aeon	Washington D.C.							C	Use this Gate and lose 1 Sanity point to play any one non-Weapon Artifact from any Dimension. Your Adventurer and Explorer Allies add 1 point to their card value while this is your Current Location. 
Smugglers Tunnels 	New Aeon	NA542	Location	"Water, Inside, Artifact, Gate, City, Site, Underground, "			-1				Lovecraft	Innsmouth							C	You may use this Gate to play New Aeon Monsters 
Temple to Aesathog 	New Aeon	NA543	Location	"Forest, Outside, Artifact, Gate, Country, Ruins, "			-1			NA	New Aeon	Scotland							C	This card fulfills the Space requirement for playing Azathoth. You may play Serpent People as Allies. Gate use not required. 
The Mall	New Aeon	NA544	Location	"Inside, City, Site, "			1			NA	New Aeon	Washington D.C.							C	
The Vatican	New Aeon	NA545	Location	"Water, Inside, Church, City, Library, Temple, "			5		Yes	NA	New Aeon	Rome							U	Gain 5 Sanity points now but you must spend the next turn in atonement (doing nothing else). During each additional Turn you remain here you may Bury one Phobia affecting your Investigator 
Tycho Base 	New Aeon	NA546	Location	"Inside, Tome, Gate, City, Space, University, "			-2			NA	Exotic								U	"Your Investigator automatically survives in Space at this Location. For each Turn spent on Tycho Base doing nothing else, gain 1 Sanity point. You may walk to DBZ Spacelab"
U.S. Coastguard Station 	New Aeon	NA547	Location	"Outside, Water, Artifact, Country, Government"			1			NA	New Aeon	Kingsport							C	Recover 1 Artifact per Turn for 2 Sanity. Apply Sanity gain/loss for artifact.
United Nations 	New Aeon	NA548	Location	"Water, Inside, Tome, City, Government, "						NA	New Aeon	New York							C	
Wreck of the Helene	New Aeon	NA549	Location	"Water, Outside Country, Ruins, Tome, Artifact"			-1			NA	New Aeon	Kingsport							C	"While a Star Event is in play, you may walk between this Location and any other Location card in any Dimension, except Exotic Locations."
Yucca Mountain Project 	New Aeon	NA550	Location	"Outside, Artifact, Tome, Gate, Country, Government, "						NA	New Aeon 	Yucca Mountain							R	"You must be able to survive Radiation or lose 5 Sanity points at the beginning of each Turn. Each Monster played to your Threat at this Gate costs 1 Sanity point less than normal to play, to a minimum of zero. "
Yuggoth 	New Aeon	NA551	Location	"Cemetery, Outside, Artifact, Tome, Gate, Country, Library, Space, "			-2			NA	Exotic								R	"May play this card in any Dimension; assumes Dimension indicator of previous Current Location. Beginning of each turn you must be able to survive in Space or lose 5 Sanity points. For each Turn spent on Yuggoth doing nothing else, you may draw two cards from your Mythos Deck. "
Azathoth	New Aeon	NA701	Monster	Outer God		OG		"Space, Eclipse"		Any									R	All Investigators suffer 2 points of Radiation damage when this card is played. Ignore red Sanity pentagrams and reverse the effect of green Sanity pentagrams. Investigators may not gain Sanity.
Chakota Beast	New Aeon	NA702	Monster	Lesser Independent		2			Yes	Any									U	+2 Value if you or your opponent is Underground. Joins Chakota Beast.
Colour Out Of Space (v1)	New Aeon	NA703	Monster	Greater Independent		6	-2			Any									R	-3 Value if opponent has protection from Radiation.
Dimensional Shambler (v1)	New Aeon	NA704	Monster	Lesser Independent		3	-1			Any									C	Bypasser. +1 Value if your opponent is in an Exotic Location or any Dimension other than Waking World. Joins Dimensional Shambler.
Fractal Creatures	New Aeon	NA705	Monster	Lesser Servitor		4	-1			NA									R	-2 Value if Summoned. Joins Fractal Creatures.
Greys	New Aeon	NA706	Monster	"Lesser Independent, Corrupt Scientist"	Binary	1				NA									C	 Use an Outside Gate to play as an Ally. Joins Greys. Dimensional Travel with UFO.
Hound of Tindalos	New Aeon	NA707	Monster	Greater Independent		5	-2			Any									C	+1 Value if opponent is Inside.
"Larva of the Other Gods,"																				
First Stage	New Aeon	NA708	Monster	Greater Independent		1				Any									U	"+2 Value if opponent is in Space Location. Summon to Travel in Space (location in any Region). Joins Larva of the Other Gods, First Stage."
"Larvae of the Other Gods,"																				
Second Stage	New Aeon	NA709	Monster	Greater Independent		4	-1			Any									U	Summon to Travel by Land (same Region).
Men in Black	New Aeon	NA710	Monster	Greater Servitor		3	-1			NA									C	"When Threat is revealed, randomly choose one of your opponent's Allies (Defending or not) and flip that card face-down. Joins Men in Black"
Mi-Go (v2)	New Aeon	NA711	Monster	"Lesser Independent, Corrupt Scientist"	Glyphs	2				Any									C	Use a City Gate to play this Mi-Go as an Ally. Joins Mi-Go.
Serpent People (v2)	New Aeon	NA712	Monster	"Lesser Independent, Corrupt Scientist"	Atlantean	3	-1			Any									C	"When revealed, Bury all Threat Events in the opposing Directed Threat. They have no effect. Joins Serpent People"
Servants of the Silver Twilight	New Aeon	NA713	Monster	"Lesser Servitor, Corrupt Soldier"	"English, Greek"	2				Any									C	Joins with Servants of the Silver Twilight
Shoggoth Lord	New Aeon	NA714	Monster	Greater Servitor		3	-1			Any									R	"Use a Gate at a Location with a red Sanity pentagram to play Shoggoth Lord as an Ally. Add 2 points value of Shoggoth Lord as an Ally. Add 2 points to value of Shoggoth Lord in your Directed Threat if that Directed Threat contains Shoggoth Lord, or if Shoggoth Lord is an Ally"
Shub-Niggurath	New Aeon	NA715	Monster	Great Old One		GOO		"Country/Forested Location, False Dawn"		Any									U	All Monsters may be played as Allies (still must use a Gate). Increase the value of all Dark Young by 1 point. No Investigator may gain Sanity.
Star Vampire	New Aeon	NA716	Monster	Lesser Servitor		3	-1	Invisible		Any									R	Add 1 point to the value of this card if you or your opponent is in a Space Location. Invisible when any Star is in play.
Tsathoggua	New Aeon	NA717	Monster	Great Old One		GOO		"Outside/Country Location, Blackout"		Any									R	"At the end of Combat, prior to the regular Discard phase, all Investigators Discard Monster cards remaining in their Hands. No Investigator may gain Sanity"
Werewolf	New Aeon	NA718	Monster	Lesser Independent		3	-1			DL									U	Add 1 point to the value of this card when any Night Event is in play; add 2 when Full Moon is in play. Joins Werewolf
Yog Sothoth	New Aeon	NA719	Monster	Outer God		OG		"Country/Forested Location, Nemesis"		Any									R	Treat all Locations in all Dimensions as if they belong to the same Region. No Investigator may gain Sanity.
Zombies (v2)	New Aeon	NA720	Monster	Living Dead		2				Any									C	"Value is 1 during the Day. If any Allies are lost in Combat involving Zombies, begin next round with one Zombies card face-down in your Threat (forms a new Threat). Joins Living Dead."
Bless	New Aeon	NA801	Spell	Eye			-1												R	Target Weapon becomes Enchanted for the remainder of the Round.
Call the Unnamed One	New Aeon	NA802	Spell	Folk			-1												C	Cast this spell to immediately play one Monster card as an Ally (no Gate needed).
Chronoportation	New Aeon	NA803	Spell	Folk			-1												C	Immediately play any Tome or Artifact from another Dimension that would otherwise be legal at your Current Location
Create Stasis	New Aeon	NA804	Spell	Eye			-1												U	May only be played during Combat. Set aside one random card in the target Directed Threat: it does not particpate in Combat this Round. Target begins the next Round with that card in his or her Threat.
Darkness of the Void	New Aeon	NA805	Spell	Eye			-1												R	"It is now Night. Place this card in Event area. Bury any Day, Night, Storm, or Drought Events in play. Day Events may not be played. Bury this card if any Night Event is played."
Enthrall Victims	New Aeon	NA806	Spell	Folk			-2												U	Flip two random Allies of Target opponent.
Evoke Doppleganger	New Aeon	NA807	Spell	Yellow Sign			-1												R	Cast on an Ally (except Living Dead) and immediately play another copy of that Ally card whether or not he or she could be played at your Current Location.
Exorcism	New Aeon	NA808	Spell	Folk			-1												U	May only be used during Combat. Discard a Monster from your Threat and Bury a random card from target Directed Threat.
Flesh Ward	New Aeon	NA809	Spell	Folk			-1												U	"Once cast, and as long as this card remains face-down, your Investigator is protected from the effects of Radiation. At the end of the Round you may spend 1 Sanity point to keep this card face-down."
Grasp Of Cthulhu	New Aeon	NA810	Spell	Eye			-2												R	"All Monsters join, for all Investigators, for the remainder of the Round."
Insidious Ululation of the Inv Sup	New Aeon	NA811	Spell	Eye			-1												U	"Once cast, and as long as this card remains face-down, your Investigator is protected from the effects of Space. At the end of the Round you may spend 1 Sanity point to keep this card face-down."
Mental Suggestion	New Aeon	NA812	Spell	Yellow Sign			-1												C	Target Investigator must reshuffle his or her Discards and Mythos Deck with no Sanity cost.
Monatomic Translocation	New Aeon	NA813	Spell	Folk			-2												C	You may immediately play a new Location in any Dimension (except Exotic) as your Current Location
Shaggai Mental Possession	New Aeon	NA814	Spell	Yellow Sign			-1												U	"Replace chosen target Ally with the Ally closest to the bottom of opponent's Story Deck. If none, Spell may not be cast."
Song of the Stellar Larvae	New Aeon	NA815	Spell	Folk			-1												U	"You may play one Monster allowing Travel as a Special Effect to the top of your Story Deck. Then, immediately play a new Location, as allowed by the Monster's Special Effect, as your Current Location."
Temporal Lash	New Aeon	NA816	Spell	Yellow Sign			-2												R	"When cast upon an opponent, you force him or her to Discard the Ally closest to the bottom of his or her Story Deck."
Azathoth And Others	New Aeon	NA901	Tome	"Eye, Folk"	English	2	-1			NA									U	An Unexpected Calamity can not be played by any player
B-Movie Script	New Aeon	NA902	Tome	Folk	English	1													C	"Bury this card and cause one opponent to ""recast"" (Flip) his or her Investigator card unless that opponent loses 2 Sanity points by rejecting the script."
Massa Di Requiem Per Shuggay	New Aeon	NA903	Tome	"Eye, Yellow Sign"	Italian	3	-2												C	"With a Musician Ally, you may play this Tome regardless of the languages know by your Investigator or Allies."
Prophecies of Nostradamus	New Aeon	NA904	Tome	"Eye, Folk"	French	2	-1												U	You may play Events (except Travel Events) featuring the New Aeon icon
The Internet	New Aeon	NA905	Tome	Folk	Binary	2													C	"If you also have Laptop Computer in play, add 1 point to this card's value (randomly lose spell if Laptop is lost). Joins with Laptop Computer at Artifact/Tome Locations, even if you do not currently know Binary"
Whispers Pulp Magazine Collection	New Aeon	NA906	Tome	"Folk, Yellow Sign"	English	1	-1												C	
Zanthu Tablets	New Aeon	NA907	Tome	"Eye, Folk, Yellow Sign"	Glyphs	3	-3												C	
Zanthu Tablets: A Conjectural Translation	New Aeon	NA908	Tome	Eye	English	1	-1												C	Spells or Artifacts that affect the top card of your Story Deck can not be used against you.
